rent_price,location,sq_mt,bedroom_n,bathroom_n
800 €/mes,Canillejas (Distrito San Blas. Madrid Capital),90 m²,3,1
800 €/mes,Adelfas (Distrito Retiro. Madrid Capital),61 m²,1,1
1.900 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),89 m²,2,2
1.400 €/mes,Castellana (Distrito Salamanca. Madrid Capital),51 m²,1,1
2.500 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),100 m²,2,2
650 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),60 m²,1,1
1.950 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),127 m²,2,2
2.200 €/mes,Sol (Distrito Centro. Madrid Capital),140 m²,2,2
650 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),45 m²,1,1
1.100 €/mes,Lista (Distrito Salamanca. Madrid Capital),51 m²,2,1
750 €/mes,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),53 m²,1,1
2.700 €/mes,Almagro (Distrito Chamberí. Madrid Capital),110 m²,2,2
1.500 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),77 m²,1,1
1.350 €/mes,Cortes-Huertas (Distrito Centro. Madrid Capital),88 m²,2,1
1.000 €/mes,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),100 m²,3,2
695 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),90 m²,3,1
800 €/mes,Aluche (Distrito Latina. Madrid Capital),75 m²,3,1
800 €/mes,Buenavista (Distrito Carabanchel. Madrid Capital),67 m²,3,1
575 €/mes,Portazgo (Distrito Puente de Vallecas. Madrid Capital),65 m²,2,1
695 €/mes,Numancia (Distrito Puente de Vallecas. Madrid Capital),55 m²,2,1
650 €/mes,Entrevías (Distrito Puente de Vallecas. Madrid Capital),60 m²,3,1
630 €/mes,Castellana (Distrito Salamanca. Madrid Capital),30 m²,1,1
1.300 €/mes,Virgen del Cortijo-Manoteras (Distrito Hortaleza. Madrid Capital),103 m²,2,2
850 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),62 m²,2,1
999 €/mes,El Cañaveral (Distrito Vicálvaro. Madrid Capital),116 m²,4,2
3.600 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),278 m²,4,4
2.600 €/mes,Nueva España (Distrito Chamartín. Madrid Capital),145 m²,3,3
950 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),50 m²,1,1
790 €/mes,Cortes-Huertas (Distrito Centro. Madrid Capital),40 m²,1,1
800 €/mes,Palacio (Distrito Centro. Madrid Capital),45 m²,2,1
1.350 €/mes,Montecarmelo (Distrito Fuencarral-El Pardo. Madrid Capital),124 m²,3,2
740 €/mes,Almenara (Distrito Tetuán. Madrid Capital),35 m²,1,1
760 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),43 m²,1,1
780 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),38 m²,1,1
800 €/mes,Hispanoamérica (Distrito Chamartín. Madrid Capital),50 m²,1,1
900 €/mes,Fuente del Berro (Distrito Salamanca. Madrid Capital),85 m²,2,4
