rent_price,location,sq_mt,bedroom_n,bathroom_n
780 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),53 m²,1,Bajo
2.400 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),120 m²,4,2
4.300 €/mes,Jerónimos (Distrito Retiro. Madrid Capital),180 m²,3,4
1.500 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),55 m²,2,1
1.200 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),75 m²,2,2
1.300 €/mes,Pinar del Rey (Distrito Hortaleza. Madrid Capital),110 m²,3,2
900 €/mes,Imperial (Distrito Arganzuela. Madrid Capital),60 m²,2,1
950 €/mes,Timón (Distrito Barajas. Madrid Capital),70 m²,2,2
750 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),40 m²,1,1
700 €/mes,Cortes-Huertas (Distrito Centro. Madrid Capital),50 m²,1,1
1.200 €/mes,Goya (Distrito Salamanca. Madrid Capital),80 m²,3,2
1.800 €/mes,Almagro (Distrito Chamberí. Madrid Capital),168 m²,3,2
850 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),55 m²,1,1
1.850 €/mes,Goya (Distrito Salamanca. Madrid Capital),82 m²,2,2
1.200 €/mes,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),110 m²,2,2
1.350 €/mes,Piovera (Distrito Hortaleza. Madrid Capital),66 m²,2,2
950 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),60 m²,4ª planta,
1.850 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),111 m²,2,2
800 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),35 m²,1,1
800 €/mes,Ciudad Jardín (Distrito Chamartín. Madrid Capital),49 m²,2,1
2.000 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),140 m²,4,2
1.500 €/mes,Almagro (Distrito Chamberí. Madrid Capital),76 m²,1,2
995 €/mes,Numancia (Distrito Puente de Vallecas. Madrid Capital),90 m²,3,2
2.250 €/mes,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),155 m²,4,4
850 €/mes,Almenara (Distrito Tetuán. Madrid Capital),41 m²,1,1
750 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),40 m²,1,1
900 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),63 m²,2,1
2.000 €/mes,Goya (Distrito Salamanca. Madrid Capital),110 m²,2,4
1.050 €/mes,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),78 m²,2,1
1.160 €/mes,Canillas (Distrito Hortaleza. Madrid Capital),112 m²,3,2
1.200 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),81 m²,2,2
1.200 €/mes,Ciudad Jardín (Distrito Chamartín. Madrid Capital),60 m²,2,1
2.700 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),172 m²,4,2
800 €/mes,Castilla (Distrito Chamartín. Madrid Capital),60 m²,1,1
750 €/mes,Fuente del Berro (Distrito Salamanca. Madrid Capital),78 m²,2,1
1.600 €/mes,Ibiza (Distrito Retiro. Madrid Capital),85 m²,2,1
1.600 €/mes,Ibiza (Distrito Retiro. Madrid Capital),95 m²,2,2
1.200 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),72 m²,1,1
800 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),40 m²,1,1
780 €/mes,Simancas (Distrito San Blas. Madrid Capital),48 m²,2,1
850 €/mes,Castellana (Distrito Salamanca. Madrid Capital),35 m²,1,1
1.100 €/mes,Valdeacederas (Distrito Tetuán. Madrid Capital),85 m²,2,2
1.400 €/mes,Atocha (Distrito Arganzuela. Madrid Capital),91 m²,2,2
850 €/mes,Cortes-Huertas (Distrito Centro. Madrid Capital),43 m²,1,1
1.150 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),58 m²,2,1
900 €/mes,Palacio (Distrito Centro. Madrid Capital),49 m²,1,1
700 €/mes,Sol (Distrito Centro. Madrid Capital),48 m²,1,1
900 €/mes,Rosas (Distrito San Blas. Madrid Capital),60 m²,1,1
940 €/mes,Canillejas (Distrito San Blas. Madrid Capital),97 m²,2,2
2.390 €/mes,Castilla (Distrito Chamartín. Madrid Capital),150 m²,3,2
